Timestamp,Age,Gender,Marital Status,Which category best describes your primary area of employment?,In which city do you live?,How many night(s) do you plan to stay in Leh?,The people who will be accompanying you:,Estimated budget for the trip (per person)?,The purpose of taking the trip,Which type of accommodation would you prefer for the trip?,What are the activities you have planned to participate in during your stay?,Please tick the places that you have visited/ planning to visit during your trip to Leh.,Food and beverages(restaurant),Accessibility to public transport,Hotel facilities,Price of goods and services
08/09/2020 18:44:44,20,Male,Unmarried,Student,Varanasi,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
08/09/2020 18:52:22,19,Male,Unmarried,Student,Bhopal,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Guest house,"Water Sports or Boating, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Sand dunes Leisure Park, Central Asian Museum, Alchi, Changtang Wildlife Sanctuary",8,9,8,8
08/09/2020 18:56:01,19,Male,Unmarried,Student,Gwalior,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Water Sports or Boating, Visit national parks, Shopping, Trekking, Restaurants/dining out, Camping",,,,,
08/09/2020 19:17:50,21,Male,Unmarried,Student,Hardoi,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Biking, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Hemis National Park",,,,
08/09/2020 19:20:29,21,Female,Unmarried,Student,Chandrapur,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit national parks, Visit entertainment places, nightclubs, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping",,,,,
08/09/2020 19:32:39,19,Female,Unmarried,Student,Muzaffarnagar,Less than 2 days,Friends,Below 10k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
08/09/2020 19:38:26,18,Female,Unmarried,Student,Hyderabad,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Guest house,"Biking, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
08/09/2020 19:38:39,19,Male,Unmarried,Student,Gwalior,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Guest house,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
08/09/2020 19:58:11,21,Male,Unmarried,Self employed,Kanpur,More than 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit entertainment places, nightclubs, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Magnetic Hill, Kargil, Nubra Valley, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
08/09/2020 20:24:19,21,Female,Unmarried,Student,Gwalior,More than 5 days,Friends,Above 25k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
08/09/2020 20:58:09,22,Male,Unmarried,Student,Kanpur,More than 5 days,Solo,Between 10k and 25k,Health related,Whatever keeps me close to nature,"Biking, Visit museums, Visit historical places, Shopping, Trekking, Restaurants/dining out, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary, Thanks for new suggestions",,,,
08/09/2020 21:24:09,21,Male,Unmarried,Student,Gwalior,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Trekking, Restaurants/dining out, Camping","Pangong Tso Lake, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Changtang Wildlife Sanctuary",,,,
08/09/2020 21:51:48,24,Female,Unmarried,Self employed,Bhopal,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Shopping, Camping",,7,7,7,7
08/09/2020 22:47:05,19,Female,Unmarried,Student,Lucknow,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Water Sports or Boating, Visit museums, Visit national parks, Visit historical places, Shopping, Trekking, Restaurants/dining out, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
08/09/2020 23:19:56,21,Male,Unmarried,Student,Varanasi,Less than 2 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
09/09/2020 00:53:04,19,Male,Unmarried,Student,Gwalior,More than 5 days,Friends,Above 25k,Holiday or vacation,Guest house,"Biking, Water Sports or Boating, Visit historical places, Shopping, Trekking, Restaurants/dining out, Camping",,,,,
09/09/2020 03:43:30,20,Male,Unmarried,Student,PATNA,Between 2 to 5 days,Parents or Relatives,Between 10k and 25k,Holiday or vacation,Hotel,"Visit national parks, Visit historical places, Shopping, Trekking, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Panamik Village, Magnetic Hill, Kargil, Central Asian Museum, Hemis National Park, Chadar Trek",7,3,6,2
09/09/2020 07:33:18,19,Male,Unmarried,Student,Patna,More than 5 days,Friends,Below 10k,Holiday or vacation,Guest house,"Biking, Water Sports or Boating, Visit entertainment places, nightclubs, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Alchi, Chadar Trek",,,,
09/09/2020 08:12:16,21,Female,Unmarried,Student,Gwalior,More than 5 days,"Friends, spouse, colleague",Below 10k,Holiday or vacation,Guest house,"Biking, Water Sports or Boating, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Magnetic Hill, Kargil, Diskit Monastery, Nubra Valley, Hemis National Park, Chadar Trek, Changtang Wildlife Sanctuary",,,,
09/09/2020 09:07:39,21,Male,Unmarried,Student,Gopalganj,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Water Sports or Boating, Visit museums, Visit national parks, Visit historical places, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Hall of Fame, Kargil",,,,
09/09/2020 10:14:41,21,Male,Unmarried,Student,Lucknow,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Dormitory,"Biking, Water Sports or Boating, Trekking, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Nubra Valley, Hemis National Park, Alchi, Chadar Trek",,,,
09/09/2020 10:24:20,21,Male,Unmarried,Student,Chennai,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Hotel,"Water Sports or Boating, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
09/09/2020 10:38:50,20,Female,Unmarried,Student,Kanpur,Between 2 to 5 days,Parents or Relatives,Between 10k and 25k,Holiday or vacation,Hotel,"Visit museums, Visit national parks, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Khardung-la Pass, Royal Leh Palace, Thiksey monastery, Magnetic Hill, Kargil, Nubra Valley, Hemis National Park",10,8,7,10
09/09/2020 11:05:09,20,Male,Unmarried,Student,Hyderabad,Between 2 to 5 days,Friends,Above 25k,Holiday or vacation,Dormitory,"Biking, Water Sports or Boating, Trekking, Camping","Pangong Tso Lake, Khardung-la Pass, Royal Leh Palace, Kargil",,,,
09/09/2020 11:58:15,18,Female,Unmarried,Student,Gwalior,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping",,,,,
09/09/2020 12:10:20,21,Male,Unmarried,Student,Pune,Between 2 to 5 days,Colleagues,Between 10k and 25k,Holiday or vacation,Dormitory,"Biking, Water Sports or Boating, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Tiger Hill, Khardung-la Pass, Gol Market, Thiksey monastery, Magnetic Hill, Kargil, Diskit Monastery, Nubra Valley, Hemis National Park",,,,
09/09/2020 12:22:21,25,Male,Unmarried,Employee,Indore,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Hotel,"Water Sports or Boating, Visit national parks, Visit historical places, Trekking, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Royal Leh Palace, Gurudwara Pathar Sahib, Sand dunes Leisure Park, Magnetic Hill, Nubra Valley, Hemis National Park, Changtang Wildlife Sanctuary",8,7,7,7
09/09/2020 12:26:29,19,Male,Unmarried,Student,Datia,Between 2 to 5 days,Parents or Relatives,Below 10k,Holiday or vacation,Guest house,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
09/09/2020 12:59:08,20,Male,Unmarried,Student,Kolkata,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Guest house,Biking,"Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",6,6,6,7
09/09/2020 15:06:29,21,Male,Unmarried,Student,Gwalior,More than 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Water Sports or Boating, Visit museums, Visit national parks, Shopping, Trekking, Restaurants/dining out, Camping","Pangong Tso Lake, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Thiksey monastery, Panamik Village, Kargil, Central Asian Museum, Nubra Valley, Hemis National Park, Chadar Trek, Changtang Wildlife Sanctuary",8,7,8,8
09/09/2020 18:20:14,22,Male,Unmarried,Student,Aligarh,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping",,,,,
09/09/2020 19:42:30,19,Male,Unmarried,Student,Saharanpur,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Hotel,"Water Sports or Boating, Visit entertainment places, nightclubs, Visit historical places, Trekking, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Magnetic Hill, Kargil, Nubra Valley, Chadar Trek",,,,
10/09/2020 09:47:51,19,Male,Unmarried,Student,Hyderabad,Between 2 to 5 days,Parents or Relatives,Between 10k and 25k,Holiday or vacation,Hotel,"Water Sports or Boating, Visit museums, Visit historical places, Trekking","Tiger Hill, Gurudwara Pathar Sahib, Hall of Fame, Nubra Valley, Hemis National Park, Alchi",,,,
10/09/2020 13:44:02,21,Male,Unmarried,Student,Patna,More than 5 days,Friends,Between 10k and 25k,Holiday or vacation,Camp,"Biking, Visit museums, Visit national parks, Visit entertainment places, nightclubs, Visit historical places, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
10/09/2020 15:27:28,23,Male,Unmarried,Student,lucknow,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Dormitory,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit historical places, Trekking, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary, every place",,,,
11/09/2020 10:15:15,20,Male,Unmarried,Student,Dharmavaram,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Hotel,"Biking, Water Sports or Boating, Visit historical places, Restaurants/dining out, Camping","Pangong Tso Lake, Tiger Hill, Royal Leh Palace, Gol Market, Hall of Fame, Sand dunes Leisure Park, Changtang Wildlife Sanctuary",,,,
11/09/2020 21:42:28,22,Male,Unmarried,Student,Gwalior,Between 2 to 5 days,Friends,Below 10k,Holiday or vacation,Dormitory,"Water Sports or Boating, Visit entertainment places, nightclubs, Visit historical places, Trekking, Restaurants/dining out","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Thiksey monastery, Sand dunes Leisure Park, Magnetic Hill, Nubra Valley, Changtang Wildlife Sanctuary",,,,
14/09/2020 20:37:16,25,Male,Unmarried,Employee,Haridwar,Between 2 to 5 days,Friends,Between 10k and 25k,Holiday or vacation,Guest house,"Biking, Water Sports or Boating, Visit historical places, Trekking, Restaurants/dining out, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
16/09/2020 09:47:45,20,Male,Unmarried,Student,Siliguri,More than 5 days,Parents or Relatives,Between 10k and 25k,Holiday or vacation,Guest house,"Biking, Water Sports or Boating, Visit museums, Visit national parks, Visit historical places, Shopping, Trekking, Restaurants/dining out, Hot springs, Camping","Pangong Tso Lake, Shanti Stupa, Tiger Hill, Khardung-la Pass, Royal Leh Palace, Gol Market, Gurudwara Pathar Sahib, Hall of Fame, Thiksey monastery, Sand dunes Leisure Park, Panamik Village, Magnetic Hill, Kargil, Diskit Monastery, Central Asian Museum, Nubra Valley, Hemis National Park, Alchi, Chadar Trek, Changtang Wildlife Sanctuary",,,,
